kategori,metin,soru
iletisim_sosyal_medya,"TRT’ye Instagram, Twitter (X), YouTube gibi sosyal medya platformları üzerinden ulaşabilirsiniz. Kullanıcı adları genellikle '@trt', '@trthaber', '@trtcocuk' gibi kanala özel şekildedir.",TRT'nin sosyal medya hesapları nedir?
iletisim_geri_bildirim,"TRT’ye görüş, öneri veya şikayet iletmek için trt.net.tr adresindeki iletişim formunu kullanabilir veya İzleyici Temsilciliği ile iletişime geçebilirsiniz. Çağrı Merkezi: 444 0 878.",TRT'ye nasıl ulaşılır?
,"Gassal, TRT’nin dijital platformu Tabii’de yayınlanan bir kara dram-komedi (dramedy) dizisidir. Dizinin başrolünde Ahmet Kural, cenaze hizmetleri görevlisi Baki karakterine hayat verir. Yapım, Baki’nin gizemli geçmişiyle yüzleşmesini ve ölümle iç içe hayatında anlam arayışına odaklanır. İlk sezonu 21 Aralık 2024 tarihinde, ikinci sezonu ise 24 Mayıs 2025 tarihinde Tabii platformunda yayınlanmıştır ve çok ses getirmiştir.",Gassal dizisi nedir?
,"Tabii, TRT'nin dijital içerik platformudur. Geniş bir yelpazede orijinal diziler, belgeseller ve programlar sunar. Aksiyon, drama, gerilim, bilim kurgu ve komedi gibi türlerde yapımlar içerir. Örnek içerikler arasında aksiyon ve gerilim türündeki Gassal, askerî drama türündeki Siyah Bere, bilim kurgu-gençlik dizisi %2 gibi yapımlar yer alır.",Tabii'de ne tür içerikler vardır?
trt_dinle,"TRT Dinle, radyo tiyatrosu, müzik listeleri ve podcastler sunar. Örnek içerikler: Karanlık Dosyalar, TRT Nağme.",TRT Dinle'de ne dinlenebilir?
trt_uygulama,"TRT Belgesel, doğa, insan hikâyeleri, macera temalı belgeseller sunar. Örnek içerikler: Sıra Dışı Hayatlar, Kayıp Antik Kentler.",TRT Belgesel'de ne tür programlar var?
trt_uygulama,"Tabii Premium, reklamsız ve özel içeriklere erişim sağlar. Aylık ve yıllık üyelik seçenekleri sunulur.",Tabii Premium nedir?
trt_spor,"TRT Müzik, Türk Sanat Müziği, Pop, Halk Müziği gibi türlerde programlar sunar. Örnek içerikler: Akşam Sefası, Listesiz.",TRT Müzik hangi müzik türlerini yayınlar?
trt_tabii,"TRT, mobil cihazlar için TRT İzle, TRT Dinle gibi uygulamalar geliştirmiştir.",TRT'nin mobil uygulamaları nelerdir?
trt_tabii,Tabii platformuna internet sitesi veya uygulama üzerinden ulaşılabilir. Kayıt ücretsizdir.,Tabii platformuna nasıl girilir?
tabii_icerik,"TRT Spor, spor haberleri, canlı yayınlar ve spor programları sunar. Örnek içerikler: Stadyum, Spor Manşet.",TRT Spor hangi içerikleri sunar?
trt_world,"Tabii, TRT’nin dijital içerik platformudur. Dizi, film, belgesel içerikleri sunar. Örnekler: Mevlana, Metamorfoz.",Tabii nedir?
tabii_icerik,"Tabii’de farklı türlerde diziler vardır. Örnekler: Gönül Dağı (Aile), Teşkilat (Aksiyon), Mavera (Tarihî).",Tabii'de hangi diziler var?
tabii_icerik,"TRT World, dünya meseleleri hakkında analizler, haberler ve belgeseller yayınlar. Örnek içerikler: The Newsmakers, Nexus.",TRT World ne yayınlar?
tabii_icerik,"TRT İzle, TRT'nin dizi, belgesel ve canlı yayınlarını internet üzerinden sunar. Ücretsiz izlenebilir.",TRT İzle'den nasıl izlenir?
trt_radyo,"TRT Radyo, farklı türlerde yayın yapan birçok radyo kanalına sahiptir. Örnek kanallar: TRT Radyo 1 (Haber), TRT FM (Popüler Müzik), TRT Türkü (Türk Halk Müziği).",TRT’nin kaç radyo kanalı vardır?
trt_radyo,"TRT Radyo 1, haber, kültür, ekonomi ve eğitim programlarıyla Türkiye’nin ilk radyo kanalıdır.",TRT Radyo 1 ne tür programlar yayınlar?
trt_radyo,"TRT FM, güncel Türkçe pop müzik yayınları yapan ve gençlere hitap eden bir radyodur.",TRT FM'de ne tür müzikler çalınır?
trt_radyo,"TRT Türkü, halk müziği ve Türk kültürüne ait ezgilerle tematik yayınlar sunar.",TRT Türkü'de ne tür yayınlar yapılır?
trt_radyo,"TRT Nağme, Türk Sanat Müziği repertuvarına yer veren TRT’ye ait bir radyo kanalıdır.",TRT Nağme ne yayınlar?
trt_arsiv,"TRT Arşiv, geçmişten günümüze TRT tarafından üretilen dizi, belgesel, konser ve haber görüntülerini barındırır.",TRT Arşiv’de ne tür içerikler bulunur?
trt_yayin,"TRT, yayınlarını karasal, uydu, internet ve mobil platformlar üzerinden gerçekleştirir.",TRT hangi platformlardan yayın yapar?
trt_ana_haber,"TRT Ana Haber, haftanın her günü saat 19:00’da güncel haberleri tarafsız bir biçimde sunar.",TRT Ana Haber saat kaçta yayınlanır?
trt_spiker,TRT spikerleri diksiyon ve haber sunumu eğitimleri alarak ekran karşısına çıkarlar.,TRT spikerleri nasıl seçilir?
trt_egitim,"TRT EBA TV, uzaktan eğitim kapsamında ilkokul, ortaokul ve lise seviyelerinde ders yayınları sunar.",TRT EBA TV hangi seviyelere eğitim verir?
trt_egitim,TRT EBA TV’de Milli Eğitim Bakanlığı ile ortak hazırlanan müfredat dersleri yayınlanır.,TRT EBA TV içerikleri kim tarafından hazırlanır?
trt_ozel_yay,"TRT, milli bayramlar, seçimler ve önemli olaylar için özel yayınlar gerçekleştirir.",TRT ne zaman özel yayın yapar?
trt_dublaj,"TRT, yabancı yapımları Türkçe dublaj ve altyazı seçenekleriyle sunar.",TRT yabancı dizileri nasıl yayınlar?
trt_cocuk_sinema,"TRT Çocuk, yerli animasyon filmler ve kısa sinema yapımları ile çocuklara özel sinema kuşağı sunar.",TRT Çocuk'ta sinema kuşağı var mı?
trt_sport_hd,"TRT Spor Yıldız ve TRT Spor HD, spor müsabakalarını yüksek çözünürlükle izleyiciye ulaştırır.",TRT Spor HD ne yayınlar?
trt_ozel_kanallar,"TRT, farklı ilgi alanlarına hitap eden tematik kanallar sunar: TRT Belgesel, TRT Müzik, TRT Çocuk, TRT EBA.",TRT’nin tematik kanalları nelerdir?
trt_ekran_yuzleri,TRT ekran yüzleri arasında haber spikerlerinden program sunucularına kadar pek çok tanınmış isim yer alır.,TRT’de kimler program sunar?
trt_haber,"TRT Haber, Türkiye ve dünyadan anlık gelişmeleri 7/24 izleyiciyle buluşturur.",TRT Haber hangi içerikleri sunar?
trt_dizi_klasikleri,"TRT’nin geçmişte yayınladığı unutulmaz diziler arasında: Bizimkiler, Yeditepe İstanbul, Seksenler gibi yapımlar vardır.",TRT'nin eski dizilerinden örnek verir misin?
trt_sesli_kitap,TRT Dinle platformu üzerinden edebi eserlerin sesli kitap formatında dinlenebileceği içerikler sunulmaktadır.,TRT'de sesli kitaplar nereden dinlenebilir?
trt_ozel_yayinlar,"TRT, 29 Ekim Cumhuriyet Bayramı, 23 Nisan Ulusal Egemenlik ve 15 Temmuz Demokrasi Günü gibi özel günlerde anma programları ve canlı yayınlar yapar.",TRT özel günlerde yayın yapar mı?
trt_muzik_programlari,"TRT Müzik, pop, sanat müziği ve halk müziği temalarında programlar sunar. Örnek programlar: Akşam Sefası, Türkülerle Gönül Sohbeti.",TRT Müzik'te hangi programlar yayınlanır?
trt_egitim_dizileri,"TRT geçmişte eğitici diziler de yayınlamıştır. Örnek: Bizimkiler (aile), Kaygısızlar (mizah), Mahallenin Muhtarları (toplum).",TRT'de hangi eğitici diziler yayınlandı?
trt_belgesel_kanali,"TRT Belgesel doğa, tarih ve bilim odaklı yapımlar sunar. Örnek belgeseller: Su Savaşçıları, Anadolu’nun Hafızası.",TRT Belgesel'de hangi yapımlar yayınlanır?
trt_radyo_programlari,"TRT Radyo 1’de güncel haberler, kültür programları ve dinleyici katılımlı yayınlar yapılır. Örnek programlar: Gündem, Radyo Tiyatrosu.",TRT Radyo 1'de ne tür programlar var?
trt_uluslararasi,TRT World (İngilizce) ve TRT Arabi (Arapça) gibi kanallarıyla uluslararası haber ve kültür yayınları yapmaktadır.,TRT'nin uluslararası kanalları hangileridir?
trt_dizi_2020,"TRT 1'de 2020 sonrası yayınlanan diziler arasında Masumlar Apartmanı, Teşkilat, Gönül Dağı gibi yapımlar yer alır.",Son yıllarda TRT 1'de hangi diziler yayınlandı?
trt_kanal_yelpazesi,"TRT’nin kanal çeşitliliği oldukça fazladır. Örnekler: TRT 1, TRT Belgesel, TRT Müzik, TRT Spor, TRT Çocuk.",TRT'nin hangi televizyon kanalları vardır?
trt_cocuk_programlari,"TRT Çocuk’ta yerli yapım eğitici programlar yer alır. Örnek programlar: Rafadan Tayfa, Niloya, Eymen ile Çimen.",TRT Çocuk hangi programları yayınlar?
trt_dizi_klasikleri,"TRT'nin klasik dizilerinden bazıları şunlardır: Perihan Abla (1986), Kara Melek (1997), Yeditepe İstanbul (2001).",TRT'nin eski dizilerinden hangileri öne çıkar?
trt_akademi,"TRT Akademi, medya eğitimi, habercilik ve yayıncılık alanında seminer ve atölyeler sunar. Örnek: TRT Geleceğin İletişimcileri Yarışması.",TRT Akademi ne yapar?
trt_etik,"TRT, yayın ilkeleri gereği tarafsızlık, doğruluk ve kamu yararı gibi etik kurallara bağlı kalır.",TRT’nin yayın ilkeleri nelerdir?
trt_genclik,"TRT, gençlere yönelik içeriklerde kariyer, teknoloji ve eğitim temalı programlar yayınlar. Örnek: Genç Düşünce, Geleceği Kodlayanlar.",TRT gençlere yönelik ne gibi programlar sunar?
trt_spor_icerik,"TRT Spor, futbol dışında basketbol, voleybol ve güreş gibi spor dallarını da yayınlar. Örnek: Avrupa Voleybol Şampiyonası, Yağlı Güreşler.",TRT Spor sadece futbol mu yayınlıyor?
trt_arsiv_icerik,"TRT Arşiv’de nostaljik dizi bölümleri, eski haber bültenleri ve konser kayıtları bulunur. Örnek: 1980 Darbesi haberi, Barış Manço konseri.",TRT Arşiv'de neler izlenebilir?
trt_uygulama_kullanimi,TRT İzle ve TRT Dinle uygulamaları App Store ve Google Play'den indirilebilir. İzleme/dinleme işlemleri ücretsizdir.,TRT uygulamaları nereden indirilir?
trt_tabii_dizi,"Tabii'de yayınlanan diziler arasında: Metamorfoz (bilim kurgu), Siyah Bere (askeri drama), Gassal (gerilim-komedi) yer alır.",Tabii platformunda hangi diziler var?
trt_radyo_klasik,"TRT Radyo'da geçmişten bugüne devam eden programlar: Radyo Tiyatrosu, Arkası Yarın, TRT Nağme konser kayıtları.",TRT Radyo'nun klasik programları nelerdir?
trt_kultur_sanat,"TRT 2, kültür ve sanat içerikli yayınlar yapar. Örnek programlar: Film Gibi Hayatlar, Sanat Ajandası.",TRT 2 hangi içerikleri yayınlar?
trt_dunyaya_acilim,"TRT World, uluslararası kamu diplomasisi göreviyle küresel haber yayını yapar. Merkez: İstanbul. Yayın dili: İngilizce.",TRT World’ün amacı nedir?
trt_cocuk_eglence,"TRT Çocuk’ta eğlence ile eğitim harmanlanır. Örnek karakterler: Kare, Pırıl, Elif ve Arkadaşları.",TRT Çocuk hangi karakterlere sahiptir?
